name,latency,read_uncached,write,price
Corsair CML4GX3M2A1600C9 2GB,24,14388,8551,$42.36*
Corsair CML8GX3M1A1600C10 8GB,26,12732,7587,$43.99
Corsair CML8GX3M1A1600C9 8GB,27,11699,6996,$140.97
Corsair CML8GX3M1C1600C9 8GB,25,13939,8109,$213.10
Corsair CML8GX3M2A1333C9 4GB,25,12998,8186,NA
Corsair CML8GX3M2A1600C9 4GB,25,14382,8852,$149.99
Corsair CML8GX3M2A1600C9W 4GB,24,14283,8912,NA
Corsair CML8GX3M2A1866C9 4GB,24,15103,9375,$129.89
Corsair CML8GX3M2A2133C11 4GB,23,16010,10472,$73.99*
Corsair CML8GX3M2B1600C11 4GB,25,13735,8256,NA
Corsair CMP12GX3M3A1600C9 4GB,26,12958,8038,$116.95*
Corsair CMP16GX3M2A1333C9 8GB,28,11373,6650,NA
Corsair CMP16GX3M2A1600C10 8GB,26,13761,8486,$270.19*
Corsair CMP16GX3M2A1600C11 8GB,26,13782,8392,$155.99*
Corsair CMP16GX3M2X1866C9 8GB,22,15386,9928,$229.29*
Corsair CMP16GX3M4A1333C9 4GB,25,13737,8628,$159.99*
Corsair CMP16GX3M4X1600C7 4GB,25,13620,9863,$234.99*
Corsair CMP16GX3M4X1866C9 4GB,24,13724,10834,$290.90*
Corsair CMP24GX3M6A1600C9 4GB,24,13136,9695,NA
Corsair CMP32GX3M4X1600C10 8GB,27,12232,9326,$324.99*
Corsair CMP4GX3M2A1600C8 2GB,26,13845,8595,NA
Corsair CMP4GX3M2A1600C9 2GB,24,15007,9283,$62.99*
Corsair CMP4GX3M2B1600C8 2GB,27,13506,8154,NA
Corsair CMP4GX3M2C1600C7 2GB,21,15463,9787,NA
Corsair CMP6GX3M3A1600C7 2GB,23,11438,8545,NA
Corsair CMP6GX3M3A1600C8 2GB,24,12795,7148,$89.99*
Corsair CMP8GX3M2A1600C8 4GB,22,14814,10026,NA
Corsair CMP8GX3M2A1600C9 4GB,26,13539,8260,$71.71*
Corsair CMP8GX3M2B1333C9 4GB,26,13736,7956,$96.99*
Corsair CMP8GX3M4A1600C8 2GB,23,14132,9507,NA
Corsair CMSA8GX3M1A1333C9 8GB,29,11746,8060,$113.89
Corsair CMSA8GX3M1A1600C11 8GB,32,11948,8723,$86.99
Corsair CMSA8GX3M2A1333C9 4GB,29,11018,7751,$96.99
Corsair CMSO4GX3M1A1333C9 4GB,30,10959,7642,$28.81
Corsair CMSO4GX3M1A1600C11 4GB,32,10655,6273,$94.17
Corsair CMSO4GX3M1C1600C11 4GB,28,12590,8330,$26.51
Corsair CMSO8GX3M1A1333C9 8GB,30,10764,7160,$39.99
Corsair CMSO8GX3M1A1600C11 8GB,28,12532,8907,$39.99
Corsair CMSO8GX3M1C1333C9 8GB,28,11930,8035,$39.99
Corsair CMSO8GX3M1C1600C11 8GB,29,11714,8167,$72.99
Corsair CMSO8GX3M2C1600C11 4GB,28,12031,7363,$43.99
Corsair CMSX16GX3M2B1600C9 8GB,29,12725,8933,$129.94*
Corsair CMSX16GX3M2B1866C1 8GB,27,13535,10258,$239.95*
Corsair CMSX16GX3M2B2133C1 8GB,24,15393,11461,$159.99*
Corsair CMSX16GX3M2C1866C1 8GB,29,12695,7916,$119.99*
Corsair CMSX4GX3M1A1600C9 4GB,27,12750,9012,$96.26
Corsair CMSX8GX3M1A1600C1 8GB,29,12088,8379,$42.99
Corsair CMSX8GX3M1A1600C10 8GB,28,12726,8945,$46.99*
Corsair CMSX8GX3M1A1866C10 8GB,25,14831,10683,NA
Corsair CMSX8GX3M2A1600C9 4GB,26,13575,8492,$45.99
Corsair CMSX8GX3M2A1866C10 4GB,24,14569,9850,$92.99*
Corsair CMSX8GX3M2B1600C9 4GB,29,11609,7896,$73.05*
Corsair CMSX8GX3M2B1866C10 4GB,25,13312,9142,$42.00*
Corsair CMSX8GX3M2B2133C11 4GB,27,13316,9934,$66.99*
Corsair CMT12GX3M3A2000C9 4GB,23,14583,10895,$173.99*
Corsair CMT16GX3M4X2133C9 4GB,23,14013,11389,$284.99*
Corsair CMT32GX3M4X1866C9 8GB,25,13842,10699,$424.99*
Corsair CMT4GX3M2A1866C9 2GB,23,14605,9044,NA
Corsair CMT4GX3M2A2000C8 2GB,22,14879,10491,NA
Corsair CMT4GX3M2A2133C9 2GB,21,16639,10947,NA
Corsair CMT6GX3M3A1866C9 2GB,21,15088,12111,NA
Corsair CMT6GX3M3A2000C8 2GB,21,15132,10580,NA
Corsair CMT8GX3M2A1866C9 4GB,23,15351,10064,$96.99*
Corsair CMT8GX3M2A2000C9 4GB,21,16014,11049,$99.99*
Corsair CMT8GX3M2B2133C9 4GB,22,15656,10897,$134.99*
