name,price,mark,value,single_thread,single_thread_value,tdp,powerperf,testdate,socket,category
AMD Athlon 64 2600+,NA,374,NA,448,NA,15,24,Nov 2013,NA,Unknown
AMD Athlon 64 2800+,$99.99*,438,4.38,511,5.12,89,4,Jan 2009,754,Unknown
AMD Athlon 64 3000+,$39.99,463,11.59,549,13.74,89,5,Dec 2008,Socket 754,Desktop
AMD Athlon 64 3200+,$149.95*,492,3.28,577,3.85,62,7,Dec 2008,AM2,Unknown
AMD Athlon 64 3300+,NA,576,NA,734,NA,NA,NA,Mar 2009,NA,Unknown
AMD Athlon 64 3400+,NA,545,NA,653,NA,89,6,Jan 2009,754,Unknown
AMD Athlon 64 3500+,$108.95*,539,4.96,620,5.70,45,11,Dec 2008,AM2,Unknown
AMD Athlon 64 3600+,NA,601,NA,NA,NA,NA,NA,Nov 2009,Socket 754,Desktop
AMD Athlon 64 3700+,$69.00*,599,8.69,656,9.52,89,6,Dec 2008,939,Unknown
AMD Athlon 64 3800+,$179.95*,589,3.27,672,3.74,45,13,Jan 2009,AM2,Unknown
AMD Athlon 64 4000+,$51.14,608,11.90,677,13.25,62,9,Dec 2008,AM2,Unknown
AMD Athlon 64 FX-25,NA,794,NA,NA,NA,95,8,Nov 2009,AM2+,Unknown
AMD Athlon 64 FX-34,NA,380,NA,NA,NA,NA,NA,Oct 2009,NA,Unknown
AMD Athlon 64 FX-51,NA,437,NA,NA,NA,89,4,May 2009,940,Desktop
AMD Athlon 64 FX-53,$29.99*,646,21.57,NA,NA,89,7,Feb 2009,940,Desktop
AMD Athlon 64 FX-55,$179.95*,721,4.01,767,4.26,104,6,Feb 2009,939,Desktop
AMD Athlon 64 FX-57,NA,730,NA,831,NA,104,7,Mar 2009,939,Desktop
AMD Athlon 64 FX-59,NA,715,NA,884,NA,NA,NA,May 2013,939,Desktop
AMD Athlon 64 FX-60 Dual Core,NA,1282,NA,794,NA,110,11,Feb 2009,939,Desktop
AMD Athlon 64 FX-62 Dual Core,NA,1573,NA,862,NA,125,12,Feb 2009,AM2,Desktop
AMD Athlon 64 FX-72,NA,1794,NA,NA,NA,125,14,May 2009,F (1207),Desktop
AMD Athlon 64 FX-74,$499.50*,1495,2.99,949,1.90,125,11,Mar 2009,F (1207),Desktop
AMD Athlon 64 X2 3800+,NA,958,NA,646,NA,89,10,May 2010,939,Desktop
AMD Athlon 64 X2 4200+,$308.95*,1285,4.16,NA,NA,89,14,Apr 2009,939,Desktop
AMD Athlon 64 X2 Dual Core 3400+,NA,994,NA,532,NA,89,11,Oct 2010,754,Desktop
AMD Athlon 64 X2 Dual Core 3600+,$60.00,969,16.16,593,9.89,65,14,Dec 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 3800+,NA,1001,NA,609,NA,89,11,Nov 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4000+,NA,1040,NA,629,NA,65,16,Dec 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4200+,$129.95,1097,8.44,667,5.13,89,12,Nov 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4400+,$11.99,1146,95.66,691,57.65,65,17,Dec 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4600+,$359.95*,1222,3.40,726,2.02,65,18,Dec 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4800+,$15.49,1252,80.88,746,48.22,65,19,Nov 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5000+,$331.49*,1313,3.96,782,2.36,65,20,Dec 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5200+,$53.09*,1382,26.04,809,15.25,65,21,Nov 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5400+,$52.99*,1446,27.29,845,15.95,65,22,Nov 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5600+,$149.95,1484,9.90,849,5.67,89,16,Nov 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5800+,$24.99,1528,61.17,885,35.41,89,17,Jan 2009,NA,Desktop
AMD Athlon 64 X2 Dual Core 6000+,$32.50,1604,49.36,899,27.66,89,18,Nov 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 6400+,$259.95*,1789,6.89,969,3.73,125,14,Nov 2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-230,NA,1095,NA,NA,NA,45,24,Jan 2010,NA,Unknown
AMD Athlon 64 X2 Dual Core BE-2300,NA,1082,NA,585,NA,45,24,Nov 2011,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-2350,NA,1044,NA,631,NA,45,23,May 2009,AM2,Desktop
AMD Athlon 64 X2 Dual Core TK-53,$190.22,839,4.41,480,2.53,31,27,Mar 2009,NA,Unknown
AMD Athlon 64 X2 Dual Core TK-55,$57.74*,839,14.53,553,9.59,31,27,Nov 2009,NA,Unknown
