name,size,mark,price,value,date,type
APPLE SSD TS128A,113 GB,788,NA,NA,Feb 2013,SSD
APPLE SSD TS128B,113 GB,1128,NA,NA,Feb 2013,SSD
APPLE SSD TS128C,56.7 GB,1233,NA,NA,Oct 2010,SSD
APPLE SSD TS128E,113 GB,4244,NA,NA,Nov 2012,SSD
APPLE SSD TS256B,233.8 GB,1197,NA,NA,Feb 2013,SSD
APPLE SSD TS256C,233.8 GB,1235,NA,NA,May 2013,SSD
APPLE SSD TS256C,31.4 GB,1012,NA,NA,Nov 2010,SSD
APPLE SSD TS512B,465.9 GB,1197,NA,NA,Aug 2013,SSD
APPLE SSD TS512C,465.9 GB,1288,NA,NA,Mar 2015,SSD
ASE8TNVME256,238.5 GB,6411,NA,NA,Dec 2018,SSD
ASP600S7-256GM-B,238.5 GB,2529,NA,NA,Dec 2014,SSD
aSsmnu gSS D48 0eSirse,232.9 GB,2682,NA,NA,Jan 2013,SSD
aSsmnu gSS D48 0RP OeSirse,238.5 GB,3683,NA,NA,Dec 2012,SSD
ASUS-JM S41 SSD,15 GB,301,NA,NA,Mar 2009,SSD
ASUS-PHISON SSD,7.5 GB,98,NA,NA,Mar 2009,SSD
AT MAX 1 20GB,111.8 GB,2349,NA,NA,Apr 2015,SSD
AT MAX 120GB,111.8 GB,2148,NA,NA,Jan 2013,SSD
Avant 120GB Client SSD,111.8 GB,2724,NA,NA,Jul 2015,SSD
Avant 500GB M.2 NVME,465.8 GB,16315,NA,NA,May 2018,SSD
AVEXIR E100 SERIES - 120GB,111.8 GB,2754,NA,NA,May 2016,SSD
AVEXIR SSD V1 128G AVSSD3V1128G,119.2 GB,1318,NA,NA,Feb 2016,SSD
AVSSDE100ZZ-120GB,111.8 GB,3518,NA,NA,Jan 2017,SSD
AVSSDS3E100Z-120GB,111.8 GB,1208,NA,NA,Sep 2016,SSD
AVSSDS3E100Z-240GB,223.6 GB,1951,NA,NA,Oct 2016,SSD
Axiom C560 Series SSD,931.5 GB,2535,NA,NA,Sep 2016,SSD
Axiom Signature III SSD,223.6 GB,2990,$81.61*,36.64,Aug 2013,SSD
Axiom Signature Series III SSD,111.8 GB,2824,NA,NA,Feb 2014,SSD
AXM14S3-128GM-B,119.2 GB,3240,NA,NA,Nov 2012,SSD
AXNS381E-128GM-B,119.2 GB,2170,$39.99*,54.26,Nov 2014,SSD
AXNS381E-256GM-B,238.5 GB,2605,NA,NA,Sep 2014,SSD
BHT WR202A1032G 6702,29.1 GB,364,NA,NA,Nov 2014,SSD
BHT WR202D0064G 670215F5,58.2 GB,518,NA,NA,Mar 2016,SSD
BHT WR202HH032G E70215F5,29.1 GB,601,NA,NA,Jun 2016,SSD
BHT WR202HH032G E70290F5,29.1 GB,732,NA,NA,Oct 2016,SSD
BIOSTAR S100-120GB,111.8 GB,2776,NA,NA,May 2017,SSD
BIOSTAR S100-240GB,223.6 GB,2887,NA,NA,Dec 2016,SSD
BIWIN SSD 120GB,111.8 GB,3284,NA,NA,Nov 2015,SSD
BIWIN SSD 128GB,119.2 GB,2724,NA,NA,Jul 2014,SSD
BIWIN SSD 16GB,14.7 GB,974,NA,NA,Jun 2013,SSD
BIWIN SSD 240GB,223.6 GB,3455,NA,NA,Mar 2013,SSD
BIWIN SSD 256GB,238.5 GB,3110,NA,NA,Oct 2014,SSD
BIWIN SSD 32GB,29.8 GB,768,NA,NA,Aug 2013,SSD
BIWIN SSD 480GB,447.1 GB,3939,NA,NA,Aug 2016,SSD
BIWIN SSD 500GB,472 GB,3908,NA,NA,Jun 2015,SSD
