name,latency,read_uncached,write,price
Crucial Technology CT12864AA667.M8FJ1 1GB,65,2631,1666,NA
Crucial Technology CT12864AA667.M8FJ2 1GB,57,2930,1678,NA
Crucial Technology CT12864AA667.M8FJ3 1GB,47,4801,2094,NA
Crucial Technology CT12864AA667.M8VFH 1GB,64,3041,1645,NA
Crucial Technology CT12864AA800.K8F 1GB,56,3822,1675,$15.99
Crucial Technology CT12864AA800.M8FH 1GB,58,4440,2112,NA
Crucial Technology CT12864AA800.M8FJ2 1GB,76,3895,2561,$45.62*
Crucial Technology CT12864AA800.M8FJ3 1GB,53,4448,2339,NA
Crucial Technology CT12864AA800.M8FM 1GB,54,4120,2057,NA
Crucial Technology CT12864AA800.M8VFG 1GB,51,4140,1374,NA
Crucial Technology CT12864AA800.M8VFH 1GB,53,4184,1635,NA
Crucial Technology CT12864AA800.S8F 1GB,52,3869,1666,NA
Crucial Technology CT12864AC667.K8F8 1GB,65,2664,1132,$17.26
Crucial Technology CT12864AC667.M8FH8 1GB,70,2398,1227,NA
Crucial Technology CT12864AC667.M8FJ1 1GB,61,2596,1526,NA
Crucial Technology CT12864AC667.M8FJ2 1GB,118,1450,981,NA
Crucial Technology CT12864AC667.M8FM8 1GB,75,2325,1102,NA
Crucial Technology CT25664AA1067.K16F 2GB,47,5106,2224,$96.27
Crucial Technology CT25664AA1067.M16F 2GB,49,5474,2394,$53.20*
Crucial Technology CT25664AA667.K16F 2GB,56,4503,2039,$12.00
Crucial Technology CT25664AA667.M16FH 2GB,52,4167,1906,NA
Crucial Technology CT25664AA667.M16FJ 2GB,49,4965,2198,$38.70*
Crucial Technology CT25664AA667.M16FM 2GB,81,3304,1239,NA
Crucial Technology CT25664AA667.M16VF 2GB,65,3760,1721,$38.10*
Crucial Technology CT25664AA667.Y16F 2GB,62,3395,1921,NA
Crucial Technology CT25664AA800.C16FH 2GB,53,4773,2063,$7.00
Crucial Technology CT25664AA800.C16FM 2GB,51,5088,2208,NA
Crucial Technology CT25664AA800.K16F 2GB,58,4464,2276,$35.13*
Crucial Technology CT25664AA800.M16FG 2GB,51,4837,2026,NA
Crucial Technology CT25664AA800.M16FH 2GB,58,4436,2147,NA
Crucial Technology CT25664AA800.M16FJ 2GB,59,4594,2343,NA
Crucial Technology CT25664AA800.M16FM 2GB,51,5025,2128,NA
Crucial Technology CT25664AA800.M16VF 2GB,59,4264,2031,NA
Crucial Technology CT25664AA800.Y16F 2GB,60,4846,2477,NA
Crucial Technology CT25664AC667.C16FH 2GB,66,3325,1415,$18.99
Crucial Technology CT25664AC667.K16F 2GB,60,3027,1448,$44.02*
Crucial Technology CT25664AC667.M16FG 2GB,65,3128,1758,NA
Crucial Technology CT25664AC667.M16FH 2GB,68,3373,1533,$27.99*
Crucial Technology CT25664AC667.M16FJ 2GB,68,2786,1334,$27.99*
Crucial Technology CT25664AC667.M16FM 2GB,77,3066,1556,NA
Crucial Technology CT25664AC667.Y16F 2GB,59,3136,1452,NA
Crucial Technology CT25664AC800.C16FH 2GB,81,3270,1406,$18.99
Crucial Technology CT25664AC800.C16FM 2GB,56,3998,1680,NA
Crucial Technology CT25664AC800.K16F 2GB,69,3181,1536,$29.87*
Crucial Technology CT25664AC800.M16FE 2GB,52,4363,1800,NA
Crucial Technology CT25664AC800.M16FH 2GB,61,3756,1635,NA
Crucial Technology CT25664AC800.M16FJ 2GB,59,4033,1741,NA
Crucial Technology CT25664AC800.M16FM 2GB,70,3457,1667,NA
Crucial Technology CT25672AA667.M9FC 2GB,54,4605,2107,NA
Crucial Technology CT25672AA80E.M9FC 2GB,43,5882,2512,$37.82
Crucial Technology CT51264AA667.M16FC 4GB,57,4619,2030,$47.45
Crucial Technology CT51264AC667.M16FC 4GB,55,4412,1812,$105.99*
Crucial Technology CT51264AC800.C16FC 4GB,54,4380,1859,$107.99
Crucial Technology CT51264AC800.M16FC 4GB,62,4273,1920,$104.99*
Crucial Technology DD128M6408U68AB2J- 1GB,45,3770,1984,NA
Crucial Technology LX12864AC800.M8FG 1GB,62,3032,1295,NA
Crucial Technology LX25664AC800.M16FE 2GB,50,4482,1833,NA
Crucial Technology RM12864AA667.8FE 1GB,66,3011,1559,NA
Crucial Technology RM12864AA667.8FE?? 1GB,48,3810,1799,NA
Crucial Technology RM12864AA667.8FG?? 1GB,48,3204,1661,NA
Crucial Technology RM12864AA800.8FE 1GB,57,3890,2070,NA
Crucial Technology RM12864AA800.8FH 1GB,66,4666,2547,NA
Crucial Technology RM12864AA800.M8FJ1 1GB,75,3335,2293,NA
Crucial Technology RM25664AA800.16FE 2GB,58,4816,2478,NA
Crucial Technology RM25664AA800.16FG 2GB,58,4832,2290,NA
Crucial Technology RM25664AA800.16FG? 2GB,47,5156,2256,NA
Crucial Technology RM25664AA800.16FH 2GB,57,4561,2168,NA
Crucial Technology RM25664AA800.16FH? 2GB,57,4778,2600,NA
Crucial Technology ST25664AA800.16FH 2GB,52,4707,2068,NA
Crucial Technology UL25664AA667.M16FH 2GB,72,2759,1747,NA
Crucial Technology wIPVTReeTTU 1GB,65,3244,1517,NA
Crucial Technology wIPVTReeVHH 1GB,81,3141,2428,NA
Crucial Technology wPSTTReeVHH 2GB,59,4445,2104,NA
Dane-Elec (C Memory) D2D667-064565TG 2GB,53,3759,1402,NA
Dane-Elec (C Memory) D2D800-064566TG 2GB,58,4225,2022,NA
Elpida CL5-5-5DDR2-667 1GB,59,3173,1953,NA
Elpida EBE10EE8ACWA-8G-E 1GB,54,4543,2191,NA
Elpida EBE10RD4ABFA-4A-E 1GB,50,3514,1611,NA
Elpida EBE10RD4AGFA-4A-E 1GB,51,3559,1536,NA
Elpida EBE10UE8ACFA-6E-E 1GB,67,3849,2138,NA
Elpida EBE10UE8ACFA-8G-E 1GB,61,3354,1372,NA
Elpida EBE10UE8ACWA-6E-E 1GB,59,3938,1694,NA
Elpida EBE10UE8ACWA-8G-E 1GB,55,4299,1936,NA
Elpida EBE10UE8AEFA-8G-E 1GB,58,3870,1697,NA
Elpida EBE10UE8AFFA-8G-F 1GB,60,4615,2443,NA
Elpida EBE10UE8AFSA-8G-F 1GB,76,2631,1546,NA
Elpida EBE11ED8AGWA-6E-E 1GB,55,4435,1805,NA
Elpida EBE11FD8AJFT-6E-E 1GB,84,2894,2059,NA
Elpida EBE11UD8AGFA-5C-E 1GB,44,4253,2089,NA
Elpida EBE11UD8AGSA-6E-E 1GB,66,2433,1331,NA
Elpida EBE11UD8AGUA-6E-E 1GB,60,3520,1385,NA
Elpida EBE11UD8AGWA-6E-E 1GB,64,3405,1548,NA
Elpida EBE11UD8AJWA-6E-E 1GB,55,4055,1802,NA
Elpida EBE11UD8AJWA-8G-E 1GB,69,3165,1757,NA
Elpida EBE11UE6ACSA-6E-E 1GB,67,2775,1701,NA
Elpida EBE11UE6ACUA-6E-E 1GB,59,3407,1557,NA
Elpida EBE11UE6ACUA-8G-E 1GB,69,3107,1594,NA
Elpida EBE11UE6AESA-8G-F 1GB,72,3470,1558,NA
Elpida EBE21EE8ACFA-8G-E 2GB,49,5255,2413,NA
Elpida EBE21EE8ACWA-8G-E 2GB,50,5237,2240,NA
Elpida EBE21FD4AGFD-6E-E 2GB,94,2641,1825,NA
Elpida EBE21FD4AJFT-6E-E 2GB,86,2878,2010,NA
Elpida EBE21FE8ACFT-6E-E 1GB,105,2967,2025,NA
Elpida EBE21RD4AEFA-4A-E 2GB,55,3461,1255,NA
Elpida EBE21UE8ACUA-6E-E 2GB,60,3830,1642,NA
Elpida EBE21UE8ACUA-8G-E 2GB,68,3810,1763,NA
Elpida EBE21UE8ACWA-6E-E 2GB,73,5073,3197,NA
Elpida EBE21UE8ACWA-8G-E 2GB,51,4961,2111,NA
Elpida EBE21UE8AEFA-8G-E 2GB,63,4402,2358,NA
Elpida EBE21UE8AESA-6E-F 2GB,88,2468,1453,NA
Elpida EBE21UE8AESA-8G-E 2GB,108,2008,1911,NA
Elpida EBE21UE8AESA-8G-F 2GB,61,4177,1823,NA
Elpida EBE21UE8AFFA-8G-F 2GB,56,4532,2105,NA
Elpida EBE21UE8AFSA-8G-F 2GB,69,3934,1819,NA
Elpida EBE21UE8AFSB-8G-F 2GB,77,3501,2355,NA
Elpida EBE41EF8ABFA-8G-E 4GB,52,5043,2064,NA
Elpida EBE41FE4ABHD-6E-E 2GB,110,3285,2156,NA
Elpida EBE41FE4ACFT-6E-E 4GB,79,2817,2068,NA
Elpida EBE41UF8ABDA-6E-E 4GB,53,3910,1647,NA
Elpida EBE41UF8ABDA-8G-E 4GB,59,4687,2218,NA
Elpida EBE51UD8AGWA-6E-E 512MB,64,2549,1067,NA
Elpida EBE82FF4A1RQ-6E-E 8GB,110,2737,2091,NA
Exel CM72FB2048-667 2GB,85,3002,2343,$42.14
Flasys CL4-4-4DDR2-533 512MB,55,2876,925,NA
G Skill Intl F2-4200PHU1-1GBLA 1GB,79,2600,2102,$16.99*
G Skill Intl F2-4200PHU1-1GBNT 1GB,60,2788,1265,NA
G Skill Intl F2-4200PHU1-1GBSA 1GB,64,2273,1138,NA
G Skill Intl F2-5300CL4-2GBPQ 2GB,53,4292,2118,$28.99*
G Skill Intl F2-5300CL4-2GBSQ 2GB,49,4320,1786,$29.99*
G Skill Intl F2-5300CL5-2GBSA 2GB,67,3177,1221,NA
G Skill Intl F2-5300CL5-2GBSQ 2GB,82,3166,1364,$22.99
G Skill Intl F2-5300CL5-4GBSQ 4GB,52,3922,1874,$79.99
G Skill Intl F2-5300PHU1-1GBSA 1GB,74,2257,1305,$19.00
G Skill Intl F2-5400PHU1-1GBNT 1GB,53,3689,1802,$16.64
G Skill Intl F2-6400CL4-1GBHK 1GB,46,4889,2206,NA
G Skill Intl F2-6400CL4-1GBPK 1GB,52,4915,2279,$23.99*
G Skill Intl F2-6400CL4-2GBHK 2GB,50,5094,2771,NA
G Skill Intl F2-6400CL4-2GBPI 2GB,51,5794,2613,NA
G Skill Intl F2-6400CL4-2GBPI-B 2GB,52,5216,2470,NA
G Skill Intl F2-6400CL4-2GBPK 2GB,49,5314,2443,$42.99*
G Skill Intl F2-6400CL5-1GBNQ 1GB,54,4465,2267,$37.99
G Skill Intl F2-6400CL5-1GBNT 1GB,68,2909,1471,$15.64
G Skill Intl F2-6400CL5-2GBNT 2GB,53,4814,2380,$25.44
G Skill Intl F2-6400CL5-2GBNY 2GB,63,5141,2845,NA
G Skill Intl F2-6400CL5-2GBPI 2GB,65,4082,2114,NA
G Skill Intl F2-6400CL5-2GBPQ 2GB,51,5045,2439,$26.99*
