name,cpu_score,gpu_score,rank
LG LM-Q710(FGN),4496,89051,379
LG LM-V350,15326,220664,16
LG LM-V405,15099,206777,21
LG LM-X210(G),2207,38633,691
LG LML413DL,2612,49038,658
LG LS777,3425,73599,550
LG LS998,10968,171366,93
LG M153,1523,31646,728
LG M250,3003,73931,626
LG M320,2788,76012,640
LG M400,2904,76246,633
LG M430,2439,49410,680
LG M700,2931,56343,631
LG Nexus 4,1874,43971,720
LG Nexus 5,2896,72766,635
LG Nexus 5X,4935,71670,338
LG SP200,3271,75857,583
LG SP320,3100,72513,613
LG TP450,3280,68412,579
LG US996,7253,75881,180
LG US998,11704,171522,82
LG V10 (Various Models),5957,78151,245
LG V20 (Various Models),7557,73343,164
LG V30 (Various Models),11535,173630,84
LG V520,4038,79021,443
LG V533,3535,73292,528
LG VS501,2317,48122,684
LG VS988,6874,71865,201
Maze Alpha,4785,122112,351
Meizu 16th,14877,236032,23
Meizu m3 note,5426,66640,290
Meizu M3s,4116,67213,436
Meizu M5s,4392,79849,395
Meizu M6 Note,5251,109281,310
Meizu MX5,4448,81990,382
Meizu PRO 6 Plus,7947,82697,143
Meizu PRO 7 Plus,10921,167220,94
Meizu U10,2945,64842,629
Motorola DROID Turbo,5658,96580,267
Motorola Droid Turbo 2,7358,106457,175
Motorola Moto E,2016,42716,713
Motorola Moto E (4),2639,46745,656
Motorola Moto E (4) Plus,2746,44544,647
Motorola moto e5 play,2583,46833,663
Motorola moto e5 plus,3273,60588,582
Motorola moto e5 supra,3853,73242,478
Motorola Moto G (4),4092,74664,439
Motorola Moto G (5),3535,76136,527
Motorola Moto G (5) Plus,5430,115727,289
Motorola Moto G (5S),3846,73865,479
Motorola Moto G (5S) Plus,5408,114105,292
Motorola Moto G 2014,1474,38796,731
Motorola Moto G Play,2189,39971,693
Motorola moto g(6),5109,99315,326
Motorola moto g(6) play,3300,61427,576
Motorola moto g(6) plus,6054,116667,240
Motorola Moto G4,3543,64089,523
Motorola Moto G4 Plus,3259,63197,584
Motorola Moto MAXX,6722,106727,206
Motorola Moto X (2nd Gen),3794,119186,481
Motorola Moto X Force (XT1580),6634,92339,210
Motorola Moto X Play,3871,81853,476
Motorola Moto X Pure (XT1575),5439,93662,283
Motorola Moto X Style (XT1572),5656,105840,268
Motorola moto x4,5751,114931,260
Motorola Moto Z (2),12869,199157,53
Motorola Moto Z (XT1650),8452,89402,126
Motorola Moto Z Play (Various Models),5402,115624,293
Motorola Moto Z2 Play,5709,121979,263
Motorola moto z3,11827,194984,79
Motorola Moto Z3 Play,8229,154025,133
Motorola MotoE2(4G-LTE),1724,45356,726
Motorola MotoG3,2305,48395,688
Motorola Nexus 6,5613,87795,275
Motorola XT1030,1408,34139,733
Motorola XT1058,2151,46505,700
Motorola XT1080,1504,40804,729
Motorola XT1095,3948,92609,463
Motorola XT1096,3982,92590,454
Motorola XT1562,3432,65153,547
Motorola XT1609,2229,42464,689
Motorola XT1663,4129,88888,435
Motorola XT1685,5624,114378,274
Motorola XT1710-02,5544,123583,277
Newbund Apollo Lite,6065,137035,239
Newbund Mars pro,5204,119737,315
Nextbit Robin,6464,89982,218
Nokia ara,1221,17719,735
Nubia NX523J_V1,5746,102253,261
Nubia NX531J,6204,75080,231
Nubia NX551J,4785,96918,350
Nubia NX591J,5762,82316,258
Nvidia SHIELD Android TV,10720,105269,98
Nvidia SHIELD Tablet,7984,97876,141
Nvidia SHIELD Tablet K1,8235,110215,132
Oneplus 2 (Various Models),5905,94979,247
Oneplus 3 (A3000),8321,88197,129
Oneplus 3T (Various Models),8392,93879,128
Oneplus 5 (A5000),12642,204205,58
Oneplus 5T (A5010),13101,199540,50
Oneplus A6000,15640,241565,12
Oneplus A6003,15519,242009,13
Oneplus A6013,15880,239635,10
Oneplus One (A0001),4083,90542,441
Oneplus X (Various Models),3405,88309,556
Oppo A1601,3597,65485,510
Oppo A37f,2307,41109,687
Oppo CPH1607,5320,121681,305
Oppo CPH1611,7278,144458,178
Oppo CPH1701,3525,73001,533
Oppo CPH1717,3084,74710,614
Oppo CPH1719,8907,192361,113
Oppo CPH1723,4357,104600,398
Oppo CPH1725,4817,114560,348
Oppo CPH1727,4430,108535,386
Oppo CPH1729,4010,114973,448
Oppo CPH1819,7520,152031,169
Oppo CPH1859,7176,156206,182
Oppo RMX1801,7523,151666,168
Oukitel K6,4608,103444,367
Oukitel K6000 Plus,3804,77035,480
Oukitel K6000 Pro,3966,74595,457
Oukitel U20 Plus,3875,47719,472
Panasonic ELUGA Note,3247,54420,588
Panasonic ELUGA Ray,2595,39635,662
Panasonic FZ-N1,2897,51823,634
